Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,mens-boxer-shorts-soft-cotton-men-pack-breathable-mens-underwear-boxer-briefs-b07xymcbbv,Mens Boxer Shorts Soft Cotton Men Pack Breathable Mens Underwear Boxer Briefs,Natural Feelings,Mens Boxer Shorts Soft Cotton Men Pack Breathable Mens Underwear Boxer Briefs by Natural Feelings. Category: Most-Loved Fashion. Rated 4.3 stars. Shop: https://www.amazon.ae/dp/B07XYMCBBV,published,https://m.media-amazon.com/images/I/51TDhSDTgxL._AC_UL320_.jpg,500,,,,,,,Natural Feelings,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHANSXSSV4VQYZWDGB3R,TRUE,B07XYMCBBV,,Mens Boxer Shorts Soft Cotton Men Pack Breathable Mens Underwear Boxer Briefs,B07XYMCBBV,B07XYMCBBV,FALSE,TRUE,500,,,,,,,Natural Feelings,66.23,71.99,Variant,Default,https://m.media-amazon.com/images/I/51TDhSDTgxL._AC_UL320_.jpg,
,men-s-watch-ae-1200whd-1avdf-black-dial-silver-band-b00a2erbss,"Men's Watch - AE-1200WHD-1AVDF Black Dial, Silver Band",Casio,"Men's Watch - AE-1200WHD-1AVDF Black Dial, Silver Band by Casio. Category: Most-Loved Fashion. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B00A2ERBSS",published,https://m.media-amazon.com/images/I/61gOJoEevCL._AC_UL320_.jpg,500,,,,,,,Casio,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HG71BD7CQFVH4ZV3T2MG,TRUE,B00A2ERBSS,,"Men's Watch - AE-1200WHD-1AVDF Black Dial, Silver Band",B00A2ERBSS,B00A2ERBSS,FALSE,TRUE,500,,,,,,,Casio,137.98,149.98,Variant,Default,https://m.media-amazon.com/images/I/61gOJoEevCL._AC_UL320_.jpg,
,mordern-classic-basic-vest-3pcs-pack-100-cotton-vest-for-men-8820-0310-white-m-b07c666kvn,Mordern Classic Basic Vest 3Pcs Pack | 100% Cotton Vest for Men | 8820-0310-WHITE/M,Jockey,Mordern Classic Basic Vest 3Pcs Pack | 100% Cotton Vest for Men | 8820-0310-WHITE/M by Jockey. Category: Most-Loved Fashion. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B07C666KVN,published,https://m.media-amazon.com/images/I/81zDUhy6qGL._AC_UL320_.jpg,500,,,,,,,Jockey,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHCHFW08Z90VZMKV2KC7,TRUE,B07C666KVN,,Mordern Classic Basic Vest 3Pcs Pack | 100% Cotton Vest for Men | 8820-0310-WHITE/M,B07C666KVN,B07C666KVN,FALSE,TRUE,500,,,,,,,Jockey,50.55,54.95,Variant,Default,https://m.media-amazon.com/images/I/81zDUhy6qGL._AC_UL320_.jpg,
,polarized-sunglasses-men-women-classic-retro-square-sun-glasses-men-uv-protection-driving-fishing-b09c3njwyq,"Polarized Sunglasses Men Women, Classic Retro Square Sun Glasses Men UV Protection Driving Fishing",Joopin,"Polarized Sunglasses Men Women, Classic Retro Square Sun Glasses Men UV Protection Driving Fishing by Joopin. Category: Most-Loved Fashion. Rated 4.1 stars. Shop: https://www.amazon.ae/dp/B09C3NJWYQ",published,https://m.media-amazon.com/images/I/61T0WCpvZAL._AC_UL320_.jpg,500,,,,,,,Joopin,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHEC4T16R7BF1PYZ3BWP,TRUE,B09C3NJWYQ,,"Polarized Sunglasses Men Women, Classic Retro Square Sun Glasses Men UV Protection Driving Fishing",B09C3NJWYQ,B09C3NJWYQ,FALSE,TRUE,500,,,,,,,Joopin,42.95,46.69,Variant,Default,https://m.media-amazon.com/images/I/61T0WCpvZAL._AC_UL320_.jpg,
,men-s-watch-mtp-vd01d-2evudf-blue-dial-silver-band-b07bs3lcp1,"Men's Watch - MTP-VD01D-2EVUDF Blue Dial, Silver Band",Casio,"Men's Watch - MTP-VD01D-2EVUDF Blue Dial, Silver Band by Casio. Category: Most-Loved Fashion. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B07BS3LCP",published,https://m.media-amazon.com/images/I/71Cu4qTuVVL._AC_UL320_.jpg,500,,,,,,,Casio,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HG71BD7CQFVH4ZV3T2MG,TRUE,B07BS3LCP1,,"Men's Watch - MTP-VD01D-2EVUDF Blue Dial, Silver Band",B07BS3LCP1,B07BS3LCP1,FALSE,TRUE,500,,,,,,,Casio,92.00,100.00,Variant,Default,https://m.media-amazon.com/images/I/71Cu4qTuVVL._AC_UL320_.jpg,
,laptop-backpack-for-men-women-water-resistant-travel-bag-with-usb-charging-port-anti-theft-business-computer-daypack-for-work-and-college-b07n3wq6h7,"Laptop Backpack for Men Women,Water Resistant Travel Bag with USB Charging Port,Anti Theft Business Computer Daypack for Work and College",MATEIN,"Laptop Backpack for Men Women,Water Resistant Travel Bag with USB Charging Port,Anti Theft Business Computer Daypack for Work and College by MATEIN. Category: Most-Loved Fashion. Rated 4.7 stars. Shop: https://www.amazon.ae/dp/B07N3WQ6H7",published,https://m.media-amazon.com/images/I/71Y1ru0ocfL._AC_UL320_.jpg,500,,,,,,,MATEIN,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHG9NGAX05TXM5PWVTYE,TRUE,B07N3WQ6H7,,"Laptop Backpack for Men Women,Water Resistant Travel Bag with USB Charging Port,Anti Theft Business Computer Daypack for Work and College",B07N3WQ6H7,B07N3WQ6H7,FALSE,TRUE,500,,,,,,,MATEIN,80.96,88.00,Variant,Default,https://m.media-amazon.com/images/I/71Y1ru0ocfL._AC_UL320_.jpg,
,shoe-cleaner-kit-cure-premium-sneaker-cleaning-travel-kit-with-3-5oz-solution-premium-brush-and-microfiber-cloth-b018yhsebw,"Shoe Cleaner Kit - Cure Premium Sneaker Cleaning Travel Kit with 3.5oz Solution, Premium Brush, and Microfiber Cloth",Crep Protect,"Shoe Cleaner Kit - Cure Premium Sneaker Cleaning Travel Kit with 3.5oz Solution, Premium Brush, and Microfiber Cloth by Crep Protect. Category: Most-Loved Fashion. Rated 4.5 stars. Shop: https://www.amazon.ae/dp/B018YHSEBW",published,https://m.media-amazon.com/images/I/71T0whW+CqL._AC_UL320_.jpg,500,,,,,,,Crep Protect,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HF7DGWF1P9ZGKGWKF3N6,TRUE,B018YHSEBW,,"Shoe Cleaner Kit - Cure Premium Sneaker Cleaning Travel Kit with 3.5oz Solution, Premium Brush, and Microfiber Cloth",B018YHSEBW,B018YHSEBW,FALSE,TRUE,500,,,,,,,Crep Protect,87.40,95.00,Variant,Default,https://m.media-amazon.com/images/I/71T0whW+CqL._AC_UL320_.jpg,
,men-shirt-stays-adjustable-elastic-shirt-garter-shirts-holder-with-non-slip-locking-clamps-for-police-military-b07qqwvfp7,Men Shirt Stays Adjustable Elastic Shirt Garter Shirts Holder with Non-slip Locking Clamps for Police Military,Kedofe,Men Shirt Stays Adjustable Elastic Shirt Garter Shirts Holder with Non-slip Locking Clamps for Police Military by Kedofe. Category: Most-Loved Fashion. Rated 4.1 stars. Shop: https://www.amazon.ae/dp/B07QQWVFP7,published,https://m.media-amazon.com/images/I/81ZWRYCvojL._AC_UL320_.jpg,500,,,,,,,Kedofe,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHJAAGEK6Q7VFRVQZEM5,TRUE,B07QQWVFP7,,Men Shirt Stays Adjustable Elastic Shirt Garter Shirts Holder with Non-slip Locking Clamps for Police Military,B07QQWVFP7,B07QQWVFP7,FALSE,TRUE,500,,,,,,,Kedofe,22.38,24.33,Variant,Default,https://m.media-amazon.com/images/I/81ZWRYCvojL._AC_UL320_.jpg,
,brother-rakhi-with-greeting-card-rakhi-gifts-for-brother-sister-bhaiya-bhabhi-for-indian-raksha-bandhan-festival-set-of-2-k4k5-b08bp8zbrk,"Brother Rakhi with Greeting Card | Rakhi Gifts for Brother, Sister, Bhaiya, Bhabhi for Indian Raksha Bandhan Festival (Set of 2) (K4K5)",Riddhika Ventures,"Brother Rakhi with Greeting Card | Rakhi Gifts for Brother, Sister, Bhaiya, Bhabhi for Indian Raksha Bandhan Festival (Set of 2) (K4K5) by Riddhika Ventures. Category: Most-Loved Fashion. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B08BP8ZBRK",published,https://m.media-amazon.com/images/I/61FT4szBGIL._AC_UL320_.jpg,500,,,,,,,Riddhika Ventures,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HGPH7N1D27N74VTQ9PX7,TRUE,B08BP8ZBRK,,"Brother Rakhi with Greeting Card | Rakhi Gifts for Brother, Sister, Bhaiya, Bhabhi for Indian Raksha Bandhan Festival (Set of 2) (K4K5)",B08BP8ZBRK,B08BP8ZBRK,FALSE,TRUE,500,,,,,,,Riddhika Ventures,18.39,19.99,Variant,Default,https://m.media-amazon.com/images/I/61FT4szBGIL._AC_UL320_.jpg,
,unisex-nk-elmntl-bkpk-hbr-backpack-b094dwdht6,unisex NK ELMNTL BKPK HBR Backpack,Nike,unisex NK ELMNTL BKPK HBR Backpack by Nike. Category: Most-Loved Fashion. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B094DWDHT6,published,https://m.media-amazon.com/images/I/61pttY+vwPL._AC_UL320_.jpg,500,,,,,,,Nike,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HEZEPR0EFNQW1495TTRH,TRUE,B094DWDHT6,,unisex NK ELMNTL BKPK HBR Backpack,B094DWDHT6,B094DWDHT6,FALSE,TRUE,500,,,,,,,Nike,91.08,99.00,Variant,Default,https://m.media-amazon.com/images/I/61pttY+vwPL._AC_UL320_.jpg,
,watch-for-men-diamond-business-dress-analog-quartz-stainless-steel-waterproof-luminous-date-two-tone-luxury-casual-wrist-watch-b0bk11bv64,Watch for Men Diamond Business Dress Analog Quartz Stainless Steel Waterproof Luminous Date Two Tone Luxury Casual Wrist Watch,OLEVS,Watch for Men Diamond Business Dress Analog Quartz Stainless Steel Waterproof Luminous Date Two Tone Luxury Casual Wrist Watch by OLEVS. Category: Most-Loved Fashion. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B0BK11BV64,published,https://m.media-amazon.com/images/I/71WiaSMDiGL._AC_UL320_.jpg,500,,,,,,,OLEVS,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHMG8QEA8CBZDC0DMF4D,TRUE,B0BK11BV64,,Watch for Men Diamond Business Dress Analog Quartz Stainless Steel Waterproof Luminous Date Two Tone Luxury Casual Wrist Watch,B0BK11BV64,B0BK11BV64,FALSE,TRUE,500,,,,,,,OLEVS,69.00,75.00,Variant,Default,https://m.media-amazon.com/images/I/71WiaSMDiGL._AC_UL320_.jpg,
,sport-men-s-heavy-duty-cotton-crew-athletic-socks-pack-of-3-b07vdwp4g6,"Sport Men's Heavy Duty Cotton Crew Athletic Socks, Pack of 3",Ranger,"Sport Men's Heavy Duty Cotton Crew Athletic Socks, Pack of 3 by Ranger. Category: Most-Loved Fashion. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B07VDWP4G6",published,https://m.media-amazon.com/images/I/818skH1RpzL._AC_UL320_.jpg,500,,,,,,,Ranger,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMJ4NZ3MB10YD34B4FH7,ptag_01KCC4HHPRDMVKC5AT1MMKBS6W,TRUE,B07VDWP4G6,,"Sport Men's Heavy Duty Cotton Crew Athletic Socks, Pack of 3",B07VDWP4G6,B07VDWP4G6,FALSE,TRUE,500,,,,,,,Ranger,17.24,18.74,Variant,Default,https://m.media-amazon.com/images/I/818skH1RpzL._AC_UL320_.jpg,
,styleville-housemaid-uniform-maid-nanny-dress-set-b0bwxd5fnk,"Styleville,Housemaid Uniform, Maid & Nanny Dress set",styleville.in,"Styleville,Housemaid Uniform, Maid & Nanny Dress set by styleville.in. Category: Made for Amazon. Rated 3.9 stars. Shop: https://www.amazon.ae/dp/B0BWXD5FNK",published,https://m.media-amazon.com/images/I/61vGUauGZuL._AC_UL320_.jpg,500,,,,,,,styleville.in,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHRSSQ698KHNKFEAGHA6,TRUE,B0BWXD5FNK,,"Styleville,Housemaid Uniform, Maid & Nanny Dress set",B0BWXD5FNK,B0BWXD5FNK,FALSE,TRUE,500,,,,,,,styleville.in,45.08,49.00,Variant,Default,https://m.media-amazon.com/images/I/61vGUauGZuL._AC_UL320_.jpg,
,men-s-regular-polo-shirt-aw17mpcp11-b073x2spfg,Men's Regular Polo Shirt (AW17MPCP11),Amazon Brand - Symbol,Men's Regular Polo Shirt (AW17MPCP11) by Amazon Brand - Symbol. Category: Made for Amazon. Rated 3.8 stars. Shop: https://www.amazon.ae/dp/B073X2SPFG,published,https://m.media-amazon.com/images/I/71rzKMArJZL._AC_UL320_.jpg,500,,,,,,,Amazon Brand - Symbol,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHTM7KWTMW0NVKP5YVHK,TRUE,B073X2SPFG,,Men's Regular Polo Shirt (AW17MPCP11),B073X2SPFG,B073X2SPFG,FALSE,TRUE,500,,,,,,,Amazon Brand - Symbol,8.07,8.77,Variant,Default,https://m.media-amazon.com/images/I/71rzKMArJZL._AC_UL320_.jpg,
,women-s-georgette-with-blouse-piece-saree-b08335xjmq,Women's georgette with blouse piece Saree,Womanista,Women's georgette with blouse piece Saree by Womanista. Category: Made for Amazon. Rated 3.6 stars. Shop: https://www.amazon.ae/dp/B08335XJMQ,published,https://m.media-amazon.com/images/I/81njj0BFP6L._AC_UL320_.jpg,500,,,,,,,Womanista,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHWJ87NZ0MK94WANBWXS,TRUE,B08335XJMQ,,Women's georgette with blouse piece Saree,B08335XJMQ,B08335XJMQ,FALSE,TRUE,500,,,,,,,Womanista,35.88,39.00,Variant,Default,https://m.media-amazon.com/images/I/81njj0BFP6L._AC_UL320_.jpg,
,men-s-solid-regular-fit-sleeveless-sports-t-shirt-b093gz65k9,Men's Solid Regular Fit Sleeveless Sports T-Shirt,Amazon Brand - Symactive,Men's Solid Regular Fit Sleeveless Sports T-Shirt by Amazon Brand - Symactive. Category: Made for Amazon. Rated 4.1 stars. Shop: https://www.amazon.ae/dp/B093GZ65K9,published,https://m.media-amazon.com/images/I/71QcfoGUSHL._AC_UL320_.jpg,500,,,,,,,Amazon Brand - Symactive,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHYJV767F4A7XM0K37B1,TRUE,B093GZ65K9,,Men's Solid Regular Fit Sleeveless Sports T-Shirt,B093GZ65K9,B093GZ65K9,FALSE,TRUE,500,,,,,,,Amazon Brand - Symactive,17.26,18.76,Variant,Default,https://m.media-amazon.com/images/I/71QcfoGUSHL._AC_UL320_.jpg,
,women-s-naomi-ff-sports-shoe-b0bvvfy4gn,Women's NAOMI FF Sports Shoe,Fusefit,Women's NAOMI FF Sports Shoe by Fusefit. Category: Made for Amazon. Rated 4.0 stars. Shop: https://www.amazon.ae/dp/B0BVVFY4GN,published,https://m.media-amazon.com/images/I/61cqamuR9ZL._AC_UL320_.jpg,500,,,,,,,Fusefit,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ0J9VF59DQC4TDFXXF6,TRUE,B0BVVFY4GN,,Women's NAOMI FF Sports Shoe,B0BVVFY4GN,B0BVVFY4GN,FALSE,TRUE,500,,,,,,,Fusefit,42.32,46.00,Variant,Default,https://m.media-amazon.com/images/I/61cqamuR9ZL._AC_UL320_.jpg,
,men-bwd-240-leather-formal-shoes-b07rgqjhxf,Men BWD 240 Leather Formal Shoes,Burwood,Men BWD 240 Leather Formal Shoes by Burwood. Category: Made for Amazon. Rated 3.7 stars. Shop: https://www.amazon.ae/dp/B07RGQJHXF,published,https://m.media-amazon.com/images/I/71OA6Lkk8TL._AC_UL320_.jpg,500,,,,,,,Burwood,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ2JJNV10HWJP65AWJKN,TRUE,B07RGQJHXF,,Men BWD 240 Leather Formal Shoes,B07RGQJHXF,B07RGQJHXF,FALSE,TRUE,500,,,,,,,Burwood,58.88,64.00,Variant,Default,https://m.media-amazon.com/images/I/71OA6Lkk8TL._AC_UL320_.jpg,
,womens-core-ti1163-blue-one-size-b08334t1b7,"Womens Core TI1163, Blue, One Size",Womanista,"Womens Core TI1163, Blue, One Size by Womanista. Category: Made for Amazon. Rated 3.7 stars. Shop: https://www.amazon.ae/dp/B08334T1B7",published,https://m.media-amazon.com/images/I/51T2R4ZVAwL._AC_UL320_.jpg,500,,,,,,,Womanista,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHWJ87NZ0MK94WANBWXS,TRUE,B08334T1B7,,"Womens Core TI1163, Blue, One Size",B08334T1B7,B08334T1B7,FALSE,TRUE,500,,,,,,,Womanista,32.20,35.00,Variant,Default,https://m.media-amazon.com/images/I/51T2R4ZVAwL._AC_UL320_.jpg,
,kids-bts-5-school-shoes-b0b52wh9c8,Kids BTS-5 School Shoes,Bourge,Kids BTS-5 School Shoes by Bourge. Category: Made for Amazon. Rated 3.6 stars. Shop: https://www.amazon.ae/dp/B0B52WH9C8,published,https://m.media-amazon.com/images/I/61+ZyF4R-CL._AC_UL320_.jpg,500,,,,,,,Bourge,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ4RKXEWSZWH64BQBRK7,TRUE,B0B52WH9C8,,Kids BTS-5 School Shoes,B0B52WH9C8,B0B52WH9C8,FALSE,TRUE,500,,,,,,,Bourge,32.69,35.53,Variant,Default,https://m.media-amazon.com/images/I/61+ZyF4R-CL._AC_UL320_.jpg,
,women-casual-sneaker-shoe-b0b59xddjz,Women Casual Sneaker Shoe,Centrino,Women Casual Sneaker Shoe by Centrino. Category: Made for Amazon. Rated 3.6 stars. Shop: https://www.amazon.ae/dp/B0B59XDDJZ,published,https://m.media-amazon.com/images/I/61tATwkNAAL._AC_UL320_.jpg,500,,,,,,,Centrino,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ6NZ71FQAMV2XS5GE0Q,TRUE,B0B59XDDJZ,,Women Casual Sneaker Shoe,B0B59XDDJZ,B0B59XDDJZ,FALSE,TRUE,500,,,,,,,Centrino,29.44,32.00,Variant,Default,https://m.media-amazon.com/images/I/61tATwkNAAL._AC_UL320_.jpg,
,women-s-floral-slim-shirt-b084chshw6,Women's Floral Slim Shirt,MISS OLIVE,Women's Floral Slim Shirt by MISS OLIVE. Category: Made for Amazon. Rated 4.0 stars. Shop: https://www.amazon.ae/dp/B084CHSHW6,published,https://m.media-amazon.com/images/I/81fhDjKHBiL._AC_UL320_.jpg,500,,,,,,,MISS OLIVE,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ8MYSTPGWRKNH6YGRGA,TRUE,B084CHSHW6,,Women's Floral Slim Shirt,B084CHSHW6,B084CHSHW6,FALSE,TRUE,500,,,,,,,MISS OLIVE,23.92,26.00,Variant,Default,https://m.media-amazon.com/images/I/81fhDjKHBiL._AC_UL320_.jpg,
,men-s-solid-regular-polo-shirt-jc-po2-b084bc3r2l,Men's Solid Regular Polo Shirt (JC-PO2),Amazon Brand - Symbol,Men's Solid Regular Polo Shirt (JC-PO2) by Amazon Brand - Symbol. Category: Made for Amazon. Rated 3.8 stars. Shop: https://www.amazon.ae/dp/B084BC3R2L,published,https://m.media-amazon.com/images/I/81tIQCHLcqL._AC_UL320_.jpg,500,,,,,,,Amazon Brand - Symbol,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHTM7KWTMW0NVKP5YVHK,TRUE,B084BC3R2L,,Men's Solid Regular Polo Shirt (JC-PO2),B084BC3R2L,B084BC3R2L,FALSE,TRUE,500,,,,,,,Amazon Brand - Symbol,16.10,17.50,Variant,Default,https://m.media-amazon.com/images/I/81tIQCHLcqL._AC_UL320_.jpg,
,men-s-loire-z126-sports-shoes-b07mbxt7zf,Men's Loire-Z126 Sports Shoes,Bourge,Men's Loire-Z126 Sports Shoes by Bourge. Category: Made for Amazon. Rated 3.5 stars. Shop: https://www.amazon.ae/dp/B07MBXT7ZF,published,https://m.media-amazon.com/images/I/710tilWvUgL._AC_UL320_.jpg,500,,,,,,,Bourge,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ4RKXEWSZWH64BQBRK7,TRUE,B07MBXT7ZF,,Men's Loire-Z126 Sports Shoes,B07MBXT7ZF,B07MBXT7ZF,FALSE,TRUE,500,,,,,,,Bourge,35.88,39.00,Variant,Default,https://m.media-amazon.com/images/I/710tilWvUgL._AC_UL320_.jpg,
,women-s-luna-ff-sports-shoe-b0cffpbjfr,Women's LUNA FF Sports Shoe,Fusefit,Women's LUNA FF Sports Shoe by Fusefit. Category: Made for Amazon. Rated 4.0 stars. Shop: https://www.amazon.ae/dp/B0CFFPBJFR,published,https://m.media-amazon.com/images/I/71YDnMqM5VL._AC_UL320_.jpg,500,,,,,,,Fusefit,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ0J9VF59DQC4TDFXXF6,TRUE,B0CFFPBJFR,,Women's LUNA FF Sports Shoe,B0CFFPBJFR,B0CFFPBJFR,FALSE,TRUE,500,,,,,,,Fusefit,43.24,47.00,Variant,Default,https://m.media-amazon.com/images/I/71YDnMqM5VL._AC_UL320_.jpg,
,women-casual-sneaker-shoe-b0b59yjpdc,Women Casual Sneaker Shoe,Centrino,Women Casual Sneaker Shoe by Centrino. Category: Made for Amazon. Rated 3.4 stars. Shop: https://www.amazon.ae/dp/B0B59YJPDC,published,https://m.media-amazon.com/images/I/610Ecj39lIL._AC_UL320_.jpg,500,,,,,,,Centrino,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJ6NZ71FQAMV2XS5GE0Q,TRUE,B0B59YJPDC,,Women Casual Sneaker Shoe,B0B59YJPDC,B0B59YJPDC,FALSE,TRUE,500,,,,,,,Centrino,17.44,18.96,Variant,Default,https://m.media-amazon.com/images/I/610Ecj39lIL._AC_UL320_.jpg,
,men-s-regular-fit-running-shorts-b07vqsjy9g,Men's Regular Fit Running Shorts,Amazon Brand - Symactive,Men's Regular Fit Running Shorts by Amazon Brand - Symactive. Category: Made for Amazon. Rated 4.3 stars. Shop: https://www.amazon.ae/dp/B07VQSJY9G,published,https://m.media-amazon.com/images/I/71BdYmfdPFL._AC_UL320_.jpg,500,,,,,,,Amazon Brand - Symactive,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHYJV767F4A7XM0K37B1,TRUE,B07VQSJY9G,,Men's Regular Fit Running Shorts,B07VQSJY9G,B07VQSJY9G,FALSE,TRUE,500,,,,,,,Amazon Brand - Symactive,31.81,34.58,Variant,Default,https://m.media-amazon.com/images/I/71BdYmfdPFL._AC_UL320_.jpg,
,men-regular-button-down-shirt-b09rbcmcv4,Men Regular Button Down Shirt,Diverse,Men Regular Button Down Shirt by Diverse. Category: Made for Amazon. Rated 3.3 stars. Shop: https://www.amazon.ae/dp/B09RBCMCV4,published,https://m.media-amazon.com/images/I/81dgUX0dbIL._AC_UL320_.jpg,500,,,,,,,Diverse,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HJAHJYPTEEY0XPC25KRK,TRUE,B09RBCMCV4,,Men Regular Button Down Shirt,B09RBCMCV4,B09RBCMCV4,FALSE,TRUE,500,,,,,,,Diverse,12.25,13.31,Variant,Default,https://m.media-amazon.com/images/I/81dgUX0dbIL._AC_UL320_.jpg,
,housemaid-uniform-maid-nanny-dress-set-b0cgr8l5kw,"Housemaid Uniform, Maid & Nanny Dress set",styleville.in,"Housemaid Uniform, Maid & Nanny Dress set by styleville.in. Category: Made for Amazon. Rated 3.9 stars. Shop: https://www.amazon.ae/dp/B0CGR8L5KW",published,https://m.media-amazon.com/images/I/61MOoBPG61L._AC_UL320_.jpg,500,,,,,,,styleville.in,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMM91VN3V73FNC3CG5A8,ptag_01KCC4HHRSSQ698KHNKFEAGHA6,TRUE,B0CGR8L5KW,,"Housemaid Uniform, Maid & Nanny Dress set",B0CGR8L5KW,B0CGR8L5KW,FALSE,TRUE,500,,,,,,,styleville.in,40.48,44.00,Variant,Default,https://m.media-amazon.com/images/I/61MOoBPG61L._AC_UL320_.jpg,
